index,date,us,uk,jp,euro,kor,ind,tw,br,gold,kor3y,kor10y,us3y,us10y
2122.0,2023-01-29,1924.8000081380208,59443.90625,112092.66666666667,7778.333333333333,11469.7763671875,2461.6533203125,27416.453776041668,4165.08984375,15450.674879807691,3.31,3.287,3.933,3.530333333333333
2123.0,2023-01-30,1922.9000244140625,59500.41015625,111888.0,7784.89990234375,11393.8095703125,2450.469970703125,27433.400390625,4158.6298828125,15493.8203125,3.271,3.239,3.951,3.542
2124.0,2023-01-31,1929.5,59549.8984375,113532.0,7771.7001953125,11584.5498046875,2425.080078125,27327.109375,4163.4501953125,15265.2001953125,3.334,3.318,3.9,3.51
2125.0,2023-02-01,1927.800048828125,59708.078125,112303.0,7761.10009765625,11816.3203125,2449.800048828125,27346.880859375,4171.43994140625,15420.1298828125,3.263,3.239,3.776,3.417
2126.0,2023-02-02,1916.300048828125,59932.23828125,109935.0,7820.2001953125,12200.8203125,2468.8798828125,27402.05078125,4241.1201171875,15595.16015625,3.181,3.207,3.773,3.402
2127.0,2023-02-03,1862.9000244140625,60841.87890625,108490.0,7901.7998046875,12006.9501953125,2480.39990234375,27509.4609375,4257.97998046875,15602.66015625,3.11,3.148,3.951,3.519
2128.0,2023-02-04,1864.0,60730.21875,108478.66666666667,7880.099934895833,11967.116861979166,2466.3299153645835,27570.857421875,4240.470052083333,15532.713541666666,3.116,3.155,4.015666666666666,3.560666666666666
2129.0,2023-02-05,1865.0999755859375,60618.55859375,108467.33333333333,7858.400065104167,11927.283528645834,2452.2599283854165,27632.25390625,4222.960123697917,15462.766927083334,3.116,3.155,4.080333333333333,3.6023333333333336
2130.0,2023-02-06,1866.199951171875,60506.8984375,108456.0,7836.7001953125,11887.4501953125,2438.18994140625,27693.650390625,4205.4501953125,15392.8203125,3.283,3.281,4.145,3.644
2131.0,2023-02-07,1871.699951171875,60286.0390625,107920.0,7864.7001953125,12113.7900390625,2451.7099609375,27685.470703125,4209.31005859375,15400.91015625,3.336,3.303,4.125,3.679
2132.0,2023-02-08,1877.4000244140625,60663.7890625,109882.0,7885.2001953125,11910.51953125,2483.639892578125,27606.4609375,4209.14990234375,15618.169921875,3.343,3.322,4.081,3.615
